"","mcrnum","cmi","year"
"1","010001",1.47690954848965,2006
"2","010005",1.14576610035557,2006
"3","010006",1.43694410141852,2006
"4","010007",1.08099721254353,2006
"5","010008",0.996121955128191,2006
"6","010009",0.985092212725527,2006
"7","010010",1.02233239683931,2006
"8","010011",1.57800908025753,2006
"9","010012",1.23425153220761,2006
"10","010015",0.981572277227709,2006
"11","010016",1.34222959652075,2006
"12","010018",1.35397395833333,2006
"13","010019",1.23222798074195,2006
"14","010021",1.19407661927328,2006
"15","010022",0.945204265402827,2006
"16","010023",1.85508721292853,2006
"17","010024",1.61856675558492,2006
"18","010025",1.33367792642138,2006
"19","010027",0.766191692307682,2006
"20","010029",1.54382922201111,2006
"21","010032",0.886267857142849,2006
"22","010033",2.07849314713736,2006
"23","010034",0.965679698113189,2006
"24","010035",1.26754391962413,2006
"25","010036",1.12686182447036,2006
"26","010038",1.34366319275006,2006
"27","010039",1.63487765756661,2006
"28","010040",1.46665702199636,2006
"29","010043",1.06974355971896,2006
"30","010044",1.05581903323261,2006
"31","010045",1.09898908748822,2006
"32","010046",1.46805115399145,2006
"33","010047",0.883006729857801,2006
"34","010049",1.09188779272544,2006
"35","010050",1.04680188087773,2006
"36","010051",0.900122885572137,2006
"37","010052",0.874102640642924,2006
"38","010053",1.0207732984293,2006
"39","010054",1.06500285505122,2006
"40","010055",1.49638934686085,2006
"41","010056",1.52172623314802,2006
"42","010058",0.885418874172183,2006
"43","010059",1.06762699999998,2006
"44","010061",0.972063945278003,2006
"45","010062",1.07734459788788,2006
"46","010064",1.71558812672159,2006
"47","010065",1.45009195664573,2006
"48","010066",0.835125943396218,2006
"49","010068",1.22569614537443,2006
"50","010069",1.0548104790419,2006
"51","010072",1.1524978190255,2006
"52","010073",0.938686626139801,2006
"53","010078",1.38839095587062,2006
"54","010079",1.17617414561662,2006
"55","010083",1.21496192332681,2006
"56","010084",1.5559554191363,2006
"57","010085",1.23093406783848,2006
"58","010086",1.0937336697909,2006
"59","010087",1.96158451612901,2006
"60","010089",1.24556673532432,2006
"61","010090",1.67162936808818,2006
"62","010091",0.927465377176004,2006
"63","010092",1.52030849502654,2006
"64","010095",0.869522016460896,2006
"65","010097",0.769149608355079,2006
"66","010098",1.10413798449611,2006
"67","010099",0.990044893460671,2006
"68","010100",1.67543644541677,2006
"69","010101",1.12166022727271,2006
"70","010102",0.900824519230767,2006
"71","010103",1.86447252370027,2006
"72","010104",1.73737876442603,2006
"73","010108",1.091407250996,2006
"74","010109",0.955099999999982,2006
"75","010110",0.724419458128069,2006
"76","010112",0.973096715328448,2006
"77","010113",1.65390622845654,2006
"78","010114",1.32962257007642,2006
"79","010115",0.825768343815505,2006
"80","010118",1.26033934559214,2006
"81","010120",0.95297041166379,2006
"82","010125",1.03365771256582,2006
"83","010126",1.11602423184356,2006
"84","010128",0.840271139705872,2006
"85","010129",0.994308321579675,2006
"86","010130",0.948968447837134,2006
"87","010131",1.33966237130519,2006
"88","010137",1.28279669030732,2006
"89","010138",0.607777823408618,2006
"90","010139",1.52134893036584,2006
"91","010143",1.17005379310343,2006
"92","010144",1.55873178544805,2006
"93","010145",1.26854553524802,2006
"94","010146",1.04730940170938,2006
"95","010148",0.879033143507955,2006
"96","010149",1.33679907514449,2006
"97","010150",1.05444372163387,2006
"98","010152",1.21031028151773,2006
"99","010157",1.12293000643913,2006
"100","010158",1.08664455503511,2006
"101","010162",1.86582857142857,2006
"102","010163",1.25525714285714,2006
"103","010164",1.09008257372653,2006
"104","010165",1.76052,2006
"105","020001",1.69978800410976,2006
"106","020004",1.18762860759493,2006
"107","020005",0.955761538461538,2006
"108","020006",1.22510434108525,2006
"109","020008",1.24180075757574,2006
"110","020012",1.33516414219472,2006
"111","020014",1.03216344410875,2006
"112","020017",1.9459065630397,2006
"113","020018",0.930875563909772,2006
"114","020019",0.799290243902438,2006
"115","020020",0.841302666666665,2006
"116","020021",0.95969111111111,2006
"117","020024",1.14268763040237,2006
"118","020026",1.64602642140466,2006
"119","020027",0.920502179836505,2006
"120","030001",1.36026955177741,2006
"121","030002",2.09513119870814,2006
"122","030004",0.901666666666667,2006
"123","030006",1.6925582395084,2006
"124","030007",1.34308747238872,2006
"125","030009",0.891230075187968,2006
"126","030010",1.3492550476189,2006
"127","030011",1.46171287980627,2006
"128","030012",1.29555808039359,2006
"129","030013",1.33947656117519,2006
"130","030014",1.4683282703037,2006
"131","030016",1.25804675425036,2006
"132","030017",1.98400116810561,2006
"133","030018",1.2375828546562,2006
"134","030019",1.33584724334599,2006
"135","030022",1.57279099162009,2006
"136","030023",1.64665635413253,2006
"137","030024",2.02593715224509,2006
"138","030027",0.9382937007874,2006
"139","030030",1.67107282434594,2006
"140","030033",1.21273703433161,2006
"141","030036",1.32653902829675,2006
"142","030037",2.24590619860845,2006
"143","030038",1.58990374393769,2006
"144","030040",0.941725306122447,2006
"145","030043",1.34233166043778,2006
"146","030044",0.92639515570934,2006
"147","030055",1.36112390268359,2006
"148","030060",1.11259470672387,2006
"149","030061",1.61680834217755,2006
"150","030062",1.1672919669226,2006
"151","030064",1.9462268709905,2006
"152","030065",1.57438415599071,2006
"153","030067",1.01277290930505,2006
"154","030068",1.10453412322273,2006
"155","030069",1.3498964097802,2006
"156","030071",0.909384699453545,2006
"157","030073",1.08422312925168,2006
"158","030074",1.40735853658536,2006
"159","030077",0.882573076923076,2006
"160","030078",1.38148205128204,2006
"161","030080",1.5204804785894,2006
"162","030083",1.31070137844609,2006
"163","030084",0.985537377690789,2006
"164","030085",1.52609125879331,2006
